product_id,product_name,category,subcategory,cost_price
1,Vertex Tent Elite,Sports,Outdoor,5759.78
2,Prime Shampoo Max,Beauty,Haircare,573.45
3,Vertex Tent Everyday,Sports,Outdoor,2917.73
4,Terra Bicycle Signature,Sports,Cycling,5922.56
5,Urban Decor Piece Ultra,Home,Decor,5124.8
6,Nova Organizer Elite,Home,Storage,2621.18
7,Nova Novel Elite,Books,Fiction,142.92
8,Pulse Camera Basic,Electronics,Cameras,26450.56
9,Nimbus Cream Signature,Beauty,Skincare,871.66
10,Urban Storybook Pro,Books,Children,744.99
11,Orbit Cookware Everyday,Home,Kitchen,2132.4
12,Orbit Comic Basic,Books,Comics,378.4
13,Vibe Bedsheet Elite,Home,Bedding,608.45
14,Zenith Lipstick Elite,Beauty,Makeup,781.95
15,Crest Shampoo Max,Beauty,Haircare,439.43
16,Terra Decor Piece Premium,Home,Decor,1205.82
17,Aero Cream Basic,Beauty,Skincare,1999.99
18,Zenith Accessory Everyday,Clothing,Accessories,1853.44
19,Aero Headphone Lite,Electronics,Headphones,15904.57
20,Prime Guide Lite,Books,Non-Fiction,322.55
21,Vertex Camera Basic,Electronics,Cameras,39858.75
22,Crest Television Signature,Electronics,Televisions,17451.02
23,Drift Dress Premium,Clothing,Women's Wear,2860.3
24,Nova Shoe Essential,Clothing,Footwear,2560.61
25,Aero Storybook Premium,Books,Children,271.88
26,Vertex Outfit Ultra,Clothing,Kids Wear,799.95
27,Nimbus Perfume Classic,Beauty,Fragrance,1306.98
28,Drift Guide Plus,Books,Non-Fiction,193.49
29,Terra Cookware Ultra,Home,Kitchen,4525.42
30,Drift Television Basic,Electronics,Televisions,13399.79
31,Nimbus Outfit Basic,Clothing,Kids Wear,1615.53
32,Crest Shoe Pro,Clothing,Footwear,1478.12
33,Vibe Chair Max,Home,Furniture,419.86
34,Terra Television Elite,Electronics,Televisions,6881.9
35,Lumen Bedsheet Lite,Home,Bedding,3859.06
36,Zenith Tracker Pro,Sports,Fitness Gear,5051.04
37,Zenith Bicycle Classic,Sports,Cycling,950.63
38,Terra Shoe Signature,Clothing,Footwear,521.37
39,Orbit Storybook Pro,Books,Children,551.54
40,Aero Shampoo Essential,Beauty,Haircare,677.35
41,Terra Guide Everyday,Books,Non-Fiction,135.5
42,Vibe Tracker Ultra,Sports,Fitness Gear,5890.98
43,Crest Cookware Max,Home,Kitchen,5916.94
44,Vertex Cream Signature,Beauty,Skincare,898.04
45,Orbit Headphone Elite,Electronics,Headphones,8538.94
46,Lumen Perfume Ultra,Beauty,Fragrance,2047.59
47,Vertex Television Ultra,Electronics,Televisions,2736.24
48,Crest Shirt Classic,Clothing,Men's Wear,3463.56
49,Aero Bicycle Pro,Sports,Cycling,1348.84
50,Drift Cookware Everyday,Home,Kitchen,1170.91
51,Vibe Bedsheet Premium,Home,Bedding,7660.53
52,Nimbus Chair Premium,Home,Furniture,7409.62
53,Vertex Jersey Max,Sports,Team Sports,703.83
54,Orbit Tent Classic,Sports,Outdoor,710.4
55,Aero Lipstick Ultra,Beauty,Makeup,1122.68
56,Crest Perfume Ultra,Beauty,Fragrance,1575.64
57,Terra Textbook Pro,Books,Academic,377.92
58,Nova Shampoo Lite,Beauty,Haircare,1727.41
59,Urban Novel Max,Books,Fiction,609.03
60,Pulse Bedsheet Pro,Home,Bedding,5496.68
61,Nimbus Decor Piece Max,Home,Decor,4329.79
62,Terra Textbook Classic,Books,Academic,173.03
63,Nimbus Shampoo Basic,Beauty,Haircare,1448.01
64,Lumen Decor Piece Ultra,Home,Decor,4972.64
65,Prime Perfume Max,Beauty,Fragrance,277.72
66,Zenith Shoe Everyday,Clothing,Footwear,3455.03
67,Lumen Lipstick Max,Beauty,Makeup,796.87
68,Lumen Chair Premium,Home,Furniture,5174.06
69,Prime Organizer Max,Home,Storage,6378.11
70,Nova Shoe Elite,Clothing,Footwear,1385.85
71,Pulse Tent Max,Sports,Outdoor,5997.67
72,Orbit Perfume Essential,Beauty,Fragrance,2076.01
73,Crest Laptop Everyday,Electronics,Laptops,30860.82
74,Drift Chair Basic,Home,Furniture,1619.31
75,Orbit Shoe Pro,Clothing,Footwear,1885.64
76,Urban Chair Elite,Home,Furniture,1958.67
77,Drift Jersey Max,Sports,Team Sports,3901.58
78,Urban Jersey Everyday,Sports,Team Sports,3317.5
79,Pulse Tent Signature,Sports,Outdoor,4037.71
80,Drift Lipstick Signature,Beauty,Makeup,294.93
81,Terra Lipstick Plus,Beauty,Makeup,1099.81
82,Nimbus Cream Everyday,Beauty,Skincare,1640.58
83,Prime Bedsheet Everyday,Home,Bedding,3737.64
84,Urban Cream Ultra,Beauty,Skincare,1214.66
85,Urban Organizer Elite,Home,Storage,2690.67
86,Urban Bedsheet Elite,Home,Bedding,1028.23
87,Zenith Shoe Classic,Clothing,Footwear,621.94
88,Vibe Headphone Signature,Electronics,Headphones,43350.71
89,Pulse Outfit Premium,Clothing,Kids Wear,2706.46
90,Nimbus Storybook Ultra,Books,Children,487.84
91,Orbit Watch Ultra,Electronics,Smart Watches,10309.38
92,Nova Cookware Classic,Home,Kitchen,7082.25
93,Aero Perfume Basic,Beauty,Fragrance,1134.23
94,Vertex Decor Piece Essential,Home,Decor,3324.54
95,Crest Tent Basic,Sports,Outdoor,2471.51
96,Aero Storybook Signature,Books,Children,177.43
97,Crest Watch Elite,Electronics,Smart Watches,16959.8
98,Pulse Dress Basic,Clothing,Women's Wear,284.85
99,Lumen Laptop Elite,Electronics,Laptops,23754.51
100,Orbit Accessory Lite,Clothing,Accessories,2203.78
101,Pulse Shoe Premium,Clothing,Footwear,2138.98
